# Joint PDF of model "actual" Chl-a vs CDOM, digitized from Fig. 10a of
# Dutkiewicz et al. (2018), Biogeosciences 15, 613-630,
# doi:10.5194/bg-15-613-2018, by robust/dutkiewicz2018_fig10.py.
# Bin centres on a regular log10 grid (40 bins per decade).
# count    : mean per-native-bin sample count from the colorbar (relative density)
# fraction : count normalized to sum to 1 over all listed bins
# CDOM in mmol C m-3; Chl in mg m-3.
log10_CDOM,log10_Chl,CDOM,Chl,count,fraction
-1.9375,-1.6375,0.0115478,0.0230409,1347.33,3.789601e-04
-1.9375,-1.6125,0.0115478,0.0244062,1462.5,4.113522e-04
-1.9375,-1.5875,0.0115478,0.0258523,1304.43,3.668932e-04
-1.9375,-1.5625,0.0115478,0.0273842,1025.92,2.885562e-04
-1.9375,-1.5375,0.0115478,0.0290068,767.251,2.158021e-04
-1.9375,-1.5125,0.0115478,0.0307256,492.36,1.384845e-04
-1.9375,-1.4875,0.0115478,0.0325462,240.732,6.770988e-05
-1.9375,-1.4625,0.0115478,0.0344747,59.7048,1.679297e-05
-1.9375,-1.4375,0.0115478,0.0365174,7.83019,2.202372e-06
-1.9375,-1.4125,0.0115478,0.0386812,0.150357,4.229044e-08
-1.9125,-1.9125,0.0122321,0.0122321,0.721714,2.029941e-07
-1.9125,-1.8875,0.0122321,0.0129569,1.95714,5.504776e-07
-1.9125,-1.8625,0.0122321,0.0137246,5.10988,1.437238e-06
-1.9125,-1.8375,0.0122321,0.0145378,83.8802,2.359271e-05
-1.9125,-1.8125,0.0122321,0.0153993,482.907,1.358256e-04
-1.9125,-1.7875,0.0122321,0.0163117,1097.65,3.087312e-04
-1.9125,-1.7625,0.0122321,0.0172783,1259.24,3.541827e-04
-1.9125,-1.7375,0.0122321,0.0183021,1175.98,3.307629e-04
-1.9125,-1.7125,0.0122321,0.0193865,1377.33,3.873965e-04
-1.9125,-1.6875,0.0122321,0.0205353,1590.35,4.473125e-04
-1.9125,-1.6625,0.0122321,0.021752,1259.22,3.541754e-04
-1.9125,-1.6375,0.0122321,0.0230409,1354.16,3.808792e-04
-1.9125,-1.6125,0.0122321,0.0244062,1891.09,5.318995e-04
-1.9125,-1.5875,0.0122321,0.0258523,1951.87,5.489950e-04
-1.9125,-1.5625,0.0122321,0.0273842,1797.64,5.056156e-04
-1.9125,-1.5375,0.0122321,0.0290068,1493.19,4.199832e-04
-1.9125,-1.5125,0.0122321,0.0307256,1010.23,2.841451e-04
-1.9125,-1.4875,0.0122321,0.0325462,665.389,1.871518e-04
-1.9125,-1.4625,0.0122321,0.0344747,381.424,1.072818e-04
-1.9125,-1.4375,0.0122321,0.0365174,105.368,2.963653e-05
-1.9125,-1.4125,0.0122321,0.0386812,9.28774,2.612331e-06
-1.9125,-1.3875,0.0122321,0.0409732,0.240571,6.766470e-08
-1.8875,-1.8625,0.0129569,0.0137246,3.09191,8.696526e-07
-1.8875,-1.8375,0.0129569,0.0145378,9.50249,2.672733e-06
-1.8875,-1.8125,0.0129569,0.0153993,60.9642,1.714721e-05
-1.8875,-1.7875,0.0129569,0.0163117,510.54,1.435978e-04
-1.8875,-1.7625,0.0129569,0.0172783,1147.96,3.228843e-04
-1.8875,-1.7375,0.0129569,0.0183021,1311.25,3.688106e-04
-1.8875,-1.7125,0.0129569,0.0193865,1377.33,3.873965e-04
-1.8875,-1.6875,0.0129569,0.0205353,1545.85,4.347961e-04
-1.8875,-1.6625,0.0129569,0.021752,1641.68,4.617494e-04
-1.8875,-1.6375,0.0129569,0.0230409,1490.19,4.191419e-04
-1.8875,-1.6125,0.0129569,0.0244062,1778.63,5.002684e-04
-1.8875,-1.5875,0.0129569,0.0258523,2224.1,6.255639e-04
-1.8875,-1.5625,0.0129569,0.0273842,2534.7,7.129263e-04
-1.8875,-1.5375,0.0129569,0.0290068,2300.69,6.471083e-04
-1.8875,-1.5125,0.0129569,0.0307256,1791.14,5.037892e-04
-1.8875,-1.4875,0.0129569,0.0325462,1316.19,3.701999e-04
-1.8875,-1.4625,0.0129569,0.0344747,944.855,2.657561e-04
-1.8875,-1.4375,0.0129569,0.0365174,521.612,1.467120e-04
-1.8875,-1.4125,0.0129569,0.0386812,187.611,5.276862e-05
-1.8875,-1.3875,0.0129569,0.0409732,55.1168,1.550253e-05
-1.8875,-1.3625,0.0129569,0.043401,3.37694,9.498206e-07
-1.8875,-1.3375,0.0129569,0.0459727,0.737324,2.073847e-07
-1.8625,-1.8625,0.0137246,0.0137246,0.745665,2.097308e-07
-1.8625,-1.8375,0.0137246,0.0145378,3.79412,1.067159e-06
-1.8625,-1.8125,0.0137246,0.0153993,6.45264,1.814913e-06
-1.8625,-1.7875,0.0137246,0.0163117,54.979,1.546376e-05
-1.8625,-1.7625,0.0137246,0.0172783,422.842,1.189314e-04
-1.8625,-1.7375,0.0137246,0.0183021,1002.79,2.820512e-04
-1.8625,-1.7125,0.0137246,0.0193865,1377.33,3.873965e-04
-1.8625,-1.6875,0.0137246,0.0205353,1377.33,3.873965e-04
-1.8625,-1.6625,0.0137246,0.021752,1804.04,5.074168e-04
-1.8625,-1.6375,0.0137246,0.0230409,2017.12,5.673497e-04
-1.8625,-1.6125,0.0137246,0.0244062,1784.23,5.018432e-04
-1.8625,-1.5875,0.0137246,0.0258523,2019.68,5.680682e-04
-1.8625,-1.5625,0.0137246,0.0273842,2726.19,7.667861e-04
-1.8625,-1.5375,0.0137246,0.0290068,2868.8,8.068991e-04
-1.8625,-1.5125,0.0137246,0.0307256,2324.17,6.537123e-04
-1.8625,-1.4875,0.0137246,0.0325462,1895.22,5.330627e-04
-1.8625,-1.4625,0.0137246,0.0344747,1405.52,3.953261e-04
-1.8625,-1.4375,0.0137246,0.0365174,923.475,2.597428e-04
-1.8625,-1.4125,0.0137246,0.0386812,585.042,1.645528e-04
-1.8625,-1.3875,0.0137246,0.0409732,307.801,8.657427e-05
-1.8625,-1.3625,0.0137246,0.043401,109.014,3.066201e-05
-1.8625,-1.3375,0.0137246,0.0459727,5.96883,1.678832e-06
-1.8625,-1.2875,0.0137246,0.0515822,0.51551,1.449958e-07
-1.8375,-1.8625,0.0145378,0.0137246,0.6736,1.894612e-07
-1.8375,-1.8375,0.0145378,0.0145378,1.7302,4.866472e-07
-1.8375,-1.8125,0.0145378,0.0153993,3.2774,9.218233e-07
-1.8375,-1.7875,0.0145378,0.0163117,10.6731,3.001990e-06
-1.8375,-1.7625,0.0145378,0.0172783,110.985,3.121645e-05
-1.8375,-1.7375,0.0145378,0.0183021,488.135,1.372960e-04
-1.8375,-1.7125,0.0145378,0.0193865,1209.88,3.402986e-04
-1.8375,-1.6875,0.0145378,0.0205353,1377.33,3.873965e-04
-1.8375,-1.6625,0.0145378,0.021752,1640.67,4.614671e-04
-1.8375,-1.6375,0.0145378,0.0230409,2141.57,6.023531e-04
-1.8375,-1.6125,0.0145378,0.0244062,2179.25,6.129510e-04
-1.8375,-1.5875,0.0145378,0.0258523,2192.73,6.167422e-04
-1.8375,-1.5625,0.0145378,0.0273842,2786.85,7.838475e-04
-1.8375,-1.5375,0.0145378,0.0290068,3325.86,9.354548e-04
-1.8375,-1.5125,0.0145378,0.0307256,2875.93,8.089038e-04
-1.8375,-1.4875,0.0145378,0.0325462,2273.01,6.393206e-04
-1.8375,-1.4625,0.0145378,0.0344747,1835.9,5.163772e-04
-1.8375,-1.4375,0.0145378,0.0365174,1110.51,3.123483e-04
-1.8375,-1.4125,0.0145378,0.0386812,756.659,2.128229e-04
-1.8375,-1.3875,0.0145378,0.0409732,563.791,1.585755e-04
