# In situ Chl-a and CDOM shared by Raphe Kudela (UCSC), expressed in
# the units of Dutkiewicz et al. (2018) Fig. 10a.
# source: field  = CDOM_TChla.csv (789 Pacific/Arctic samples, 2010-2017;
#                  distinct near-surface samples, Chl-a by HPLC --
#                  R. Kudela via Q&A in claude_prompts/dutkiewicz_priors.md)
#         GLORIA = GLORIA_meta_and_lab.csv (Lehmann et al. 2023), rows with
#                  both Chla and aCDOM440
# Chl in mg m-3 (as reported);
# CDOM (mmol C m-3) = aCDOM440 * exp(-0.021*10) / 0.18
#   (shift to 450 nm with the Darwin spectral slope, then invert ccdom(450))
# QC: rows with non-positive Chl or aCDOM440 dropped.
# Written by robust/dutkiewicz2018_fig10.py.
source,Chl,aCDOM440,CDOM
field,0.73,0.058,0.261188
field,0.909,0.047,0.211653
field,0.909,0.047,0.211653
field,0.909,0.047,0.211653
field,0.909,0.047,0.211653
field,1.175,0.044,0.198143
field,1.175,0.044,0.198143
field,1.175,0.044,0.198143
field,2.745,0.046,0.207149
field,2.745,0.046,0.207149
field,2.745,0.046,0.207149
field,0.575,0.032,0.144104
field,0.575,0.032,0.144104
field,0.575,0.032,0.144104
field,0.575,0.032,0.144104
field,0.575,0.032,0.144104
field,4.086,0.056,0.252182
field,4.086,0.056,0.252182
field,4.086,0.056,0.252182
field,0.183,0.01,0.0450325
field,0.183,0.01,0.0450325
field,0.183,0.01,0.0450325
field,0.418,0.018,0.0810584
field,0.418,0.018,0.0810584
field,0.418,0.018,0.0810584
field,0.418,0.018,0.0810584
field,0.418,0.018,0.0810584
field,0.505,0.015,0.0675487
field,0.505,0.015,0.0675487
field,0.505,0.015,0.0675487
field,0.633,0.019,0.0855617
field,0.633,0.019,0.0855617
field,0.633,0.019,0.0855617
field,0.466,0.011,0.0495357
field,0.466,0.011,0.0495357
field,0.16,0.015,0.0675487
field,0.16,0.015,0.0675487
field,0.16,0.015,0.0675487
field,0.387,0.016,0.0720519
field,0.387,0.016,0.0720519
field,0.387,0.016,0.0720519
field,0.429,0.015,0.0675487
field,0.429,0.015,0.0675487
field,0.429,0.015,0.0675487
field,0.885,0.018,0.0810584
field,0.885,0.018,0.0810584
field,0.885,0.018,0.0810584
field,0.366,0.014,0.0630454
field,0.366,0.014,0.0630454
field,0.072,0.007,0.0315227
field,0.072,0.007,0.0315227
field,0.072,0.007,0.0315227
field,0.072,0.007,0.0315227
field,0.072,0.007,0.0315227
field,0.111,0.006,0.0270195
field,0.111,0.006,0.0270195
field,0.111,0.006,0.0270195
field,0.111,0.006,0.0270195
field,0.314,0.009,0.0405292
field,0.314,0.009,0.0405292
field,0.3,0.01,0.0450325
field,0.3,0.01,0.0450325
field,0.3,0.01,0.0450325
field,0.3,0.01,0.0450325
field,0.281,0.006,0.0270195
field,0.281,0.006,0.0270195
field,0.281,0.006,0.0270195
field,1.41,0.036,0.162117
field,1.41,0.036,0.162117
field,1.41,0.036,0.162117
field,0.791,0.038,0.171123
field,0.791,0.038,0.171123
field,0.791,0.038,0.171123
field,1.068,0.039,0.175627
field,1.068,0.039,0.175627
field,1.068,0.039,0.175627
field,1.068,0.039,0.175627
field,0.974,0.036,0.162117
field,0.492,0.027,0.121588
field,0.539,0.031,0.139601
field,0.539,0.031,0.139601
field,0.539,0.031,0.139601
field,0.859,0.026,0.117084
field,0.859,0.026,0.117084
field,0.199,0.016,0.0720519
field,0.199,0.016,0.0720519
field,0.142,0.007,0.0315227
field,0.142,0.007,0.0315227
field,10.107,0.059,0.265692
field,10.107,0.059,0.265692
field,10.107,0.059,0.265692
field,2.202,1.119,5.03913
field,2.202,1.119,5.03913
field,2.036,0.804,3.62061
field,2.036,0.804,3.62061
field,0.225,0.051,0.229666
field,0.225,0.051,0.229666
field,0.225,0.051,0.229666
field,0.225,0.051,0.229666
field,0.225,0.051,0.229666
field,6.5,0.064,0.288208
field,6.828,0.064,0.288208
field,6.828,0.064,0.288208
field,6.828,0.064,0.288208
field,6.828,0.064,0.288208
field,6.828,0.064,0.288208
field,6.828,0.064,0.288208
field,0.25,0.048,0.216156
field,0.25,0.048,0.216156
field,0.25,0.048,0.216156
field,0.391,0.049,0.220659
field,0.391,0.049,0.220659
field,0.391,0.049,0.220659
field,0.153,0.048,0.216156
field,0.153,0.048,0.216156
field,0.153,0.048,0.216156
field,1.58,0.049,0.220659
field,1.58,0.049,0.220659
field,1.58,0.049,0.220659
field,1.701,0.053,0.238672
field,1.701,0.053,0.238672
field,1.701,0.053,0.238672
field,1.701,0.053,0.238672
field,0.79,0.129,0.580919
field,0.79,0.129,0.580919
field,0.708,0.111,0.49986
field,0.708,0.111,0.49986
field,7.96,0.066,0.297214
field,7.96,0.066,0.297214
field,7.524,0.064,0.288208
field,7.524,0.064,0.288208
field,0.177,0.057,0.256685
field,0.177,0.057,0.256685
field,0.177,0.057,0.256685
field,0.17,0.055,0.247679
field,0.17,0.055,0.247679
field,0.17,0.055,0.247679
field,0.17,0.055,0.247679
field,0.529,0.062,0.279201
field,0.515,0.062,0.279201
field,0.529,0.062,0.279201
field,0.529,0.062,0.279201
field,0.515,0.056,0.252182
field,0.515,0.056,0.252182
field,0.515,0.056,0.252182
field,0.056,0.051,0.229666
field,0.056,0.051,0.229666
field,0.056,0.051,0.229666
field,0.084,0.044,0.198143
field,0.084,0.044,0.198143
field,0.084,0.044,0.198143
field,0.647,0.077,0.34675
field,0.713,0.07,0.315227
field,0.713,0.07,0.315227
field,0.713,0.07,0.315227
field,0.107,0.045,0.202646
field,0.107,0.045,0.202646
field,0.107,0.045,0.202646
field,0.106,0.033,0.148607
field,0.106,0.033,0.148607
field,0.144,0.049,0.220659
field,0.144,0.049,0.220659
field,0.144,0.049,0.220659
field,0.144,0.049,0.220659
field,0.144,0.049,0.220659
field,0.144,0.049,0.220659
field,0.178,0.049,0.220659
field,0.178,0.049,0.220659
field,0.178,0.049,0.220659
field,0.132,0.05,0.225162
field,0.132,0.05,0.225162
field,0.132,0.05,0.225162
field,0.137,0.041,0.184633
field,0.137,0.041,0.184633
field,0.137,0.041,0.184633
field,0.137,0.041,0.184633
field,0.26,0.055,0.247679
field,0.26,0.055,0.247679
field,0.26,0.055,0.247679
field,0.26,0.055,0.247679
field,0.26,0.055,0.247679
field,0.26,0.055,0.247679
field,0.227,0.059,0.265692
field,0.227,0.059,0.265692
field,0.144,0.049,0.220659
field,0.144,0.049,0.220659
field,0.144,0.049,0.220659
field,0.26,0.055,0.247679
field,0.059,0.033,0.148607
field,0.059,0.033,0.148607
field,0.059,0.033,0.148607
field,0.059,0.033,0.148607
field,0.059,0.033,0.148607
field,0.074,0.028,0.126091
field,0.074,0.028,0.126091
field,0.074,0.028,0.126091
field,0.293,0.071,0.31973
field,0.293,0.071,0.31973
field,0.293,0.071,0.31973
field,0.798,0.038,0.171123
field,0.798,0.038,0.171123
field,0.183,0.05,0.225162
field,0.183,0.05,0.225162
field,0.213,0.06,0.270195
field,0.177,0.05,0.225162
field,0.177,0.05,0.225162
field,0.177,0.05,0.225162
field,0.151,0.032,0.144104
field,0.186,0.036,0.162117
field,0.186,0.036,0.162117
field,0.186,0.036,0.162117
field,0.155,0.039,0.175627
field,3.455,0.05,0.225162
field,0.181,0.061,0.274698
field,0.181,0.061,0.274698
field,0.181,0.061,0.274698
field,0.181,0.061,0.274698
field,0.243,0.072,0.324234
field,0.243,0.072,0.324234
field,0.243,0.072,0.324234
field,6.327,0.108,0.486351
field,6.327,0.108,0.486351
field,6.327,0.108,0.486351
field,6.327,0.108,0.486351
field,2.709,0.077,0.34675
field,2.709,0.077,0.34675
field,2.709,0.077,0.34675
field,2.709,0.077,0.34675
field,22.542,0.086,0.387279
field,22.542,0.086,0.387279
field,22.542,0.086,0.387279
field,22.542,0.086,0.387279
field,22.542,0.086,0.387279
field,0.265,0.079,0.355756
field,0.265,0.079,0.355756
field,0.265,0.079,0.355756
field,0.13,0.048,0.216156
field,0.13,0.048,0.216156
field,0.13,0.048,0.216156
field,0.403,0.06,0.270195
field,0.403,0.06,0.270195
field,24.436,0.072,0.324234
field,24.436,0.072,0.324234
field,24.436,0.072,0.324234
field,24.436,0.072,0.324234
field,0.257,0.046,0.207149
field,0.257,0.046,0.207149
field,0.385,0.042,0.189136
field,0.385,0.042,0.189136
field,0.069,0.004,0.018013
field,0.069,0.004,0.018013
field,0.069,0.004,0.018013
field,0.108,0.002,0.00900649
field,0.108,0.002,0.00900649
field,0.108,0.002,0.00900649
field,0.108,0.002,0.00900649
field,0.12,0.005,0.0225162
field,0.12,0.005,0.0225162
field,0.12,0.005,0.0225162
field,0.065,0.005,0.0225162
field,0.065,0.005,0.0225162
field,0.065,0.005,0.0225162
field,0.065,0.005,0.0225162
field,0.061,0.003,0.0135097
field,0.061,0.003,0.0135097
field,0.061,0.003,0.0135097
field,0.063,0.002,0.00900649
field,0.063,0.002,0.00900649
field,0.151,0.001,0.00450325
field,0.12,0.005,0.0225162
field,0.12,0.005,0.0225162
field,0.12,0.005,0.0225162
field,0.12,0.005,0.0225162
field,0.12,0.005,0.0225162
field,0.12,0.005,0.0225162
field,0.101,0.003,0.0135097
field,0.101,0.003,0.0135097
field,0.101,0.003,0.0135097
field,0.101,0.003,0.0135097
field,0.065,0.005,0.0225162
field,0.065,0.005,0.0225162
field,0.065,0.005,0.0225162
field,0.065,0.005,0.0225162
field,0.061,0.003,0.0135097
field,0.061,0.003,0.0135097
field,0.061,0.003,0.0135097
field,0.061,0.003,0.0135097
field,0.063,0.002,0.00900649
field,0.063,0.002,0.00900649
field,0.063,0.002,0.00900649
field,0.1,0.007,0.0315227
field,0.1,0.007,0.0315227
field,0.1,0.006,0.0270195
field,0.1,0.006,0.0270195
field,0.1,0.006,0.0270195
field,0.3,0.022,0.0990714
field,0.3,0.022,0.0990714
field,0.3,0.022,0.0990714
field,4.9,0.083,0.373769
field,4.9,0.083,0.373769
field,4.9,0.083,0.373769
field,4.9,0.083,0.373769
field,0.1,0.013,0.0585422
field,0.1,0.013,0.0585422
field,0.1,0.013,0.0585422
field,5.4,0.209,0.941178
field,5.4,0.209,0.941178
field,0.5,0.006,0.0270195
field,0.6,0.089,0.400789
field,0.6,0.089,0.400789
field,0.6,0.089,0.400789
field,0.8,0.034,0.15311
field,0.8,0.034,0.15311
field,0.8,0.034,0.15311
field,0.8,0.034,0.15311
field,0.1,0.015,0.0675487
field,0.1,0.015,0.0675487
field,0.1,0.015,0.0675487
field,0.1,0.016,0.0720519
field,0.1,0.016,0.0720519
field,0.1,0.016,0.0720519
GLORIA,1.243,0.2702,1.21678
GLORIA,8.414,0.2992,1.34737
GLORIA,4.975,0.2584,1.16364
GLORIA,3.008,0.334,1.50408
GLORIA,3.4,0.3318,1.49418
